n,max_N,min_M
8064,9232,1039343
8065,24196,1024379
8066,12100,1036475
8067,36304,1012271
8068,14560,1034015
8069,24208,1024367
8070,18160,1030415
8071,54484,994091
8072,9232,1039343
8073,118096,930479
8074,12112,1036463
8075,36340,1012235
8076,9232,1039343
8077,24232,1024343
8078,32776,1015799
8079,81808,966767
8080,8080,1040495
8081,65608,982967
8082,65608,982967
8083,65608,982967
8084,8084,1040491
8085,24256,1024319
8086,18196,1030379
8087,54592,993983
8088,8088,1040487
8089,27304,1021271
8090,12136,1036439
8091,92176,956399
8092,23056,1025519
8093,24280,1024295
8094,40984,1007591
8095,599056,449519
8096,9232,1039343
8097,24292,1024283
8098,12148,1036427
8099,36448,1012127
8100,25972,1022603
8101,25972,1022603
8102,25972,1022603
8103,61540,987035
8104,9232,1039343
8105,155824,892751
8106,12160,1036415
8107,36484,1012091
8108,17332,1031243
8109,24328,1024247
8110,27376,1021199
8111,82132,966443
8112,8112,1040463
8113,24340,1024235
8114,13696,1034879
8115,36520,1012055
8116,8116,1040459
8117,24352,1024223
8118,30832,1017743
8119,54808,993767
8120,8120,1040455
8121,27412,1021163
8122,12184,1036391
8123,41128,1007447
8124,34720,1013855
8125,34720,1013855
8126,61720,986855
8127,400948,647627
8128,8128,1040447
8129,24388,1024187
8130,250504,798071
8131,250504,798071
8132,9232,1039343
8133,24400,1024175
8134,18304,1030271
8135,54916,993659
8136,9232,1039343
8137,41200,1007375
8138,12208,1036367
8139,36628,1011947
8140,9232,1039343
8141,24424,1024151
8142,46384,1002191
8143,82456,966119
8144,8144,1040431
8145,24436,1024139
8146,223072,825503
8147,223072,825503
8148,8148,1040427
8149,24448,1024127
8150,39184,1009391
8151,55024,993551
8152,8152,1040423
8153,27520,1021055
8154,12232,1036343
8155,61936,986639
8156,13768,1034807
8157,24472,1024103
8158,69712,978863
8159,123928,924647
8160,13120,1035455
8161,8153620,58746
8162,12244,1036331
8163,36736,1011839
8164,8728,1039847
8165,24496,1024079
8166,18376,1030199
8167,93040,955535
8168,13120,1035455
8169,104704,943871
8170,13120,1035455
8171,176740,871835
8172,44224,1004351
8173,44224,1004351
8174,44224,1004351
8175,149200,899375
8176,39364,1009211
8177,24532,1024043
8178,17476,1031099
8179,36808,1011767
8180,39364,1009211
8181,39364,1009211
8182,95956,952619
8183,95956,952619
8184,118096,930479
8185,95956,952619
8186,118096,930479
8187,95956,952619
8188,1276936,197285
8189,1276936,197285
8190,1276936,197285
8191,6810136,79334
8192,8192,1040383
8193,24580,1023995
8194,12292,1036283
8195,36880,1011695
8196,9232,1039343
8197,24592,1023983
8198,18448,1030127
8199,55348,993227
8200,8200,1040375
8201,41524,1007051
8202,12304,1036271
8203,36916,1011659
8204,9232,1039343
8205,24616,1023959
8206,27700,1020875
8207,83104,965471
8208,8208,1040367
8209,24628,1023947
8210,20788,1027787
8211,36952,1011623
8212,8212,1040363
8213,24640,1023935
8214,18484,1030091
8215,55456,993119
8216,8216,1040359
8217,27736,1020839
8218,12328,1036247
8219,399976,648599
8220,13876,1034699
8221,24664,1023911
8222,41632,1006943
8223,150064,898511
8224,9232,1039343
8225,24676,1023899
8226,12340,1036235
8227,37024,1011551
8228,10420,1038155
8229,24688,1023887
8230,18520,1030055
8231,62512,986063
8232,9232,1039343
8233,93796,954779
8234,12352,1036223
8235,37060,1011515
8236,9268,1039307
8237,24712,1023863
8238,27808,1020767
8239,400948,647627
8240,9232,1039343
8241,24724,1023851
8242,13912,1034663
8243,37096,1011479
8244,9232,1039343
8245,24736,1023839
8246,70468,978107
8247,70468,978107
8248,8248,1040327
8249,27844,1020731
8250,12376,1036199
8251,41776,1006799
8252,20896,1027679
8253,24760,1023815
8254,225988,822587
8255,225988,822587
8256,9232,1039343
8257,190996,857579
8258,190996,857579
8259,190996,857579
8260,9232,1039343
8261,24784,1023791
8262,18592,1029983
8263,79432,969143
8264,9232,1039343
8265,67048,981527
8266,12400,1036175
8267,37204,1011371
8268,9304,1039271
8269,24808,1023767
8270,31408,1017167
8271,83752,964823
8272,9232,1039343
8273,24820,1023755
8274,59668,988907
8275,59668,988907
8276,9232,1039343
8277,24832,1023743
8278,18628,1029947
8279,55888,992687
8280,9232,1039343
8281,27952,1020623
8282,12424,1036151
8283,179152,869423
8284,13984,1034591
8285,24856,1023719
8286,41956,1006619
8287,125872,922703
8288,9232,1039343
8289,59776,988799
8290,12436,1036139
8291,37312,1011263
8292,8292,1040283
8293,24880,1023695
8294,18664,1029911
8295,255472,793103
8296,9232,1039343
8297,63016,985559
8298,12448,1036127
8299,53188,995387
8300,95956,952619
8301,95956,952619
8302,95956,952619
8303,359152,689423
8304,8304,1040271
8305,24916,1023659
8306,14020,1034555
8307,37384,1011191
8308,8308,1040267
8309,24928,1023647
