n0,L,steps_to_1,max_N,max_M,theorem_ok,avg_H_N,avg_H_M,avg_H_diff,avg_ham_dist,final_M_at_N1
310,20,86,9232,1048574,True,0.758429,0.758429,0.000000,20.000000,1048574
311,20,86,9232,1048574,True,0.759198,0.759198,0.000000,20.000000,1048574
312,20,37,312,1048574,True,0.585142,0.585142,0.000000,20.000000,1048574
313,20,130,9232,1048574,True,0.771044,0.771044,0.000000,20.000000,1048574
314,20,37,472,1048574,True,0.594547,0.594547,0.000000,20.000000,1048574
315,20,37,1600,1048574,True,0.594175,0.594175,0.000000,20.000000,1048574
316,20,37,808,1048574,True,0.609433,0.609433,0.000000,20.000000,1048574
317,20,37,952,1048574,True,0.614960,0.614960,0.000000,20.000000,1048574
318,20,55,9232,1048574,True,0.702551,0.702551,0.000000,20.000000,1048574
319,20,55,9232,1048574,True,0.713956,0.713956,0.000000,20.000000,1048574
320,20,11,320,1048574,True,0.392913,0.392913,0.000000,20.000000,1048574
321,20,24,964,1048574,True,0.537159,0.537159,0.000000,20.000000,1048574
322,20,99,9232,1048574,True,0.757242,0.757242,0.000000,20.000000,1048574
323,20,99,9232,1048574,True,0.761778,0.761778,0.000000,20.000000,1048574
324,20,24,324,1048574,True,0.562423,0.562423,0.000000,20.000000,1048574
325,20,24,976,1048574,True,0.583021,0.583021,0.000000,20.000000,1048574
326,20,24,736,1048574,True,0.577900,0.577900,0.000000,20.000000,1048574
327,20,143,9232,1048574,True,0.787694,0.787694,0.000000,20.000000,1048574
328,20,112,9232,1048574,True,0.754747,0.754747,0.000000,20.000000,1048574
329,20,50,1672,1048574,True,0.651001,0.651001,0.000000,20.000000,1048574
330,20,112,9232,1048574,True,0.760296,0.760296,0.000000,20.000000,1048574
331,20,24,1492,1048574,True,0.582664,0.582664,0.000000,20.000000,1048574
332,20,112,9232,1048574,True,0.760744,0.760744,0.000000,20.000000,1048574
333,20,112,9232,1048574,True,0.764356,0.764356,0.000000,20.000000,1048574
334,20,68,9232,1048574,True,0.741440,0.741440,0.000000,20.000000,1048574
335,20,68,9232,1048574,True,0.747082,0.747082,0.000000,20.000000,1048574
336,20,11,336,1048574,True,0.421165,0.421165,0.000000,20.000000,1048574
337,20,112,9232,1048574,True,0.772868,0.772868,0.000000,20.000000,1048574
338,20,50,4372,1048574,True,0.696287,0.696287,0.000000,20.000000,1048574
339,20,50,4372,1048574,True,0.703645,0.703645,0.000000,20.000000,1048574
340,20,11,340,1048574,True,0.395280,0.395280,0.000000,20.000000,1048574
341,20,11,1024,1048574,True,0.330137,0.330137,0.000000,20.000000,1048574
342,20,125,9232,1048574,True,0.745554,0.745554,0.000000,20.000000,1048574
343,20,125,9232,1048574,True,0.748526,0.748526,0.000000,20.000000,1048574
344,20,32,344,1048574,True,0.540276,0.540276,0.000000,20.000000,1048574
345,20,125,9232,1048574,True,0.752459,0.752459,0.000000,20.000000,1048574
346,20,32,520,1048574,True,0.530362,0.530362,0.000000,20.000000,1048574
347,20,125,9232,1048574,True,0.765444,0.765444,0.000000,20.000000,1048574
348,20,32,592,1048574,True,0.560331,0.560331,0.000000,20.000000,1048574
349,20,32,1048,1048574,True,0.550245,0.550245,0.000000,20.000000,1048574
350,20,81,9232,1048574,True,0.754353,0.754353,0.000000,20.000000,1048574
351,20,81,9232,1048574,True,0.759611,0.759611,0.000000,20.000000,1048574
352,20,19,352,1048574,True,0.486726,0.486726,0.000000,20.000000,1048574
353,20,125,9232,1048574,True,0.768490,0.768490,0.000000,20.000000,1048574
354,20,32,532,1048574,True,0.548812,0.548812,0.000000,20.000000,1048574
355,20,32,1600,1048574,True,0.554916,0.554916,0.000000,20.000000,1048574
356,20,32,356,1048574,True,0.559002,0.559002,0.000000,20.000000,1048574
357,20,32,1072,1048574,True,0.554916,0.554916,0.000000,20.000000,1048574
358,20,32,808,1048574,True,0.574607,0.574607,0.000000,20.000000,1048574
359,20,50,9232,1048574,True,0.682958,0.682958,0.000000,20.000000,1048574
360,20,19,360,1048574,True,0.495059,0.495059,0.000000,20.000000,1048574
361,20,45,2752,1048574,True,0.617124,0.617124,0.000000,20.000000,1048574
362,20,19,544,1048574,True,0.478701,0.478701,0.000000,20.000000,1048574
363,20,45,1636,1048574,True,0.605559,0.605559,0.000000,20.000000,1048574
364,20,94,9232,1048574,True,0.758639,0.758639,0.000000,20.000000,1048574
365,20,94,9232,1048574,True,0.755135,0.755135,0.000000,20.000000,1048574
366,20,94,9232,1048574,True,0.763947,0.763947,0.000000,20.000000,1048574
367,20,45,4192,1048574,True,0.634692,0.634692,0.000000,20.000000,1048574
368,20,19,368,1048574,True,0.525957,0.525957,0.000000,20.000000,1048574
369,20,19,1108,1048574,True,0.527696,0.527696,0.000000,20.000000,1048574
370,20,45,628,1048574,True,0.622528,0.622528,0.000000,20.000000,1048574
371,20,45,1672,1048574,True,0.625992,0.625992,0.000000,20.000000,1048574
372,20,19,372,1048574,True,0.528151,0.528151,0.000000,20.000000,1048574
373,20,19,1120,1048574,True,0.511507,0.511507,0.000000,20.000000,1048574
374,20,45,952,1048574,True,0.649783,0.649783,0.000000,20.000000,1048574
375,20,45,2536,1048574,True,0.659382,0.659382,0.000000,20.000000,1048574
376,20,107,9232,1048574,True,0.759590,0.759590,0.000000,20.000000,1048574
377,20,63,9232,1048574,True,0.731052,0.731052,0.000000,20.000000,1048574
378,20,107,9232,1048574,True,0.759232,0.759232,0.000000,20.000000,1048574
379,20,58,2752,1048574,True,0.658717,0.658717,0.000000,20.000000,1048574
380,20,107,9232,1048574,True,0.767858,0.767858,0.000000,20.000000,1048574
381,20,107,9232,1048574,True,0.767051,0.767051,0.000000,20.000000,1048574
